three_letter_code,spv,project,wf_name_in_rotorsoft,wtg_serial_number,num_wtg,cod,wtg_type,wtg_version,manufacturer,hub_height_[m],rotor_diameter_[m],tip_height_m_,rated_power_[mw]
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921437,WTG 05,,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921438,WTG 06,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921436,WTG 04,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921435,WTG 03,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921434,WTG 02,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBB,Energie Boule Bleue,Boule Bleue,Énergie Boule Bleue (FRA),921433,WTG 01,2017-12-29,E92,,Enercon,104.0,92,150.0,2.35
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826795,WTG 04,2017-02-21,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826797,WTG 06,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826796,WTG 05,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826794,WTG 03,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826793,WTG 02,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
EBM,Energie Du Blanc Mont,Blanc Mont,Énergie du Blanc Mont (FRA),826792,WTG 01,2016-12-30,E82,,Enercon,98.0,82,139.0,2.3
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252052,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252053,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252054,,,V136,,Vestas,112.0,136,180.0,4.2
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247466,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247467,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247468,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie Du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247469,,,V136,,Vestas,112.0,136,180.0,3.0
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921454,WTG 17,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921279,WTG 27,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921278,WTG 26,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921277,WTG 25,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDI,Energie Dizy,Dizy,Énergie Dizy (FRA),921276,WTG 23,2018-02-27,E92,,Enercon,103.0,92,149.0,2.35
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92810,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92811,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92812,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92813,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie Des Noyers Sas,Petit Doré Ppk,Énergie des Noyers (FRA),92814,,,N117,,Nordex,106.0,117,164.5,3.6
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224947,WTG 04,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224946,WTG 01,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224945,WTG 02,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDO,Eoliennes De L'Ormeau,Ormeau,Éoliennes de l'Ormeau (FRA),224944,WTG 01,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232084,WTG 1,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232085,WTG 2,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235326,WTG 3,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235327,WTG 4,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232086,WTG 5,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),232087,WTG 6,2020-12-22,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235328,WTG 7,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235329,WTG 8,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235330,WTG 9,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235331,WTG 10,2020-07-29,V136,,Vestas,112.0,136,180.0,3.6
EDR,Energie Des Roncheres,Ronchères,Énergie des Ronchères (FRA),235332,WTG 11,2020-06-30,V136,,Vestas,112.0,136,180.0,3.6
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90340,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90341,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90342,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90343,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90344,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres Sas,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90345,,,N131,,Nordex,114.0,131,179.5,3.0
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921450,WTG 03,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921449,WTG 02,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EDT,Energie Du Touvent,Mont Du Saule,Énergie du Touvent (FRA),921448,WTG 01,2017-12-22,E92,,Enercon,102.0,92,148.0,2.35
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248780,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248781,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248782,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne Sas,Magnac-Laval,Énergie Haute Vienne (FRA),248783,,,V136,,Vestas,112.0,136,180.0,2.85
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228229,WTG 15,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228228,WTG 14,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228227,WTG 12,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228226,WTG 11,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
EIW,Energie Iwuy,Iwuy,Énergie Iwuy (FRA),228225,WTG 10,2019-07-30,V117,,Vestas,116.5,117,175.0,3.6
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213509,WTG 06,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213508,WTG 05,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213507,WTG 03,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213506,WTG 02,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
ELT,Energie Les Trente,Les Trente,Énergie les Trente (FRA),213505,WTG 01,2017-03-13,V100,,Vestas,95.0,100,145.0,2.0
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825546,WTG 08,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825545,WTG 07,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825544,WTG 06,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825543,WTG 05,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825542,WTG 04,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825541,WTG 03,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825540,WTG 02,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMG,Energie Montagne Gaillard,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825539,WTG 01,2014-03-14,E82,,Enercon,85.0,82,126.0,2.3
EMS,Energie Moulismes Sas,Moulismes,0,252049,WTG 01,,V150,,Vestas,125.0,150,200.0,4.2
EMS,Energie Moulismes Sas,Moulismes,0,252050,WTG 02,,V150,,Vestas,125.0,150,200.0,4.2
EMS,Energie Moulismes Sas,Moulismes,0,252051,WTG 03,,V150,,Vestas,125.0,150,200.0,4.2
ENQ,Energie Quincy,Quincy,Énergie Quincy (FRA),225154,WTG 07,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
ENQ,Energie Quincy,Quincy,Énergie Quincy (FRA),225153,WTG 06,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
ENQ,Energie Quincy,Quincy,Énergie Quincy (FRA),225152,WTG 05,2019-01-31,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,Tiper Éolien,Énergie Tiper Éolien (FRA),219087,WTG 03,2018-01-22,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,Tiper Éolien,Énergie Tiper Éolien (FRA),219086,WTG 02,2018-01-22,V100,,Vestas,100.0,100,150.0,2.2
ENT,Energie Tiper Eolien,Tiper Éolien,Énergie Tiper Éolien (FRA),219085,WTG 01,2018-01-22,V100,,Vestas,100.0,100,150.0,2.2
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826382,WTG 13,2016-04-04,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826381,WTG 11,2016-04-04,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826380,WTG 09,2016-04-04,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826377,WTG 24,2016-04-04,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826376,WTG 18,2015-12-29,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826375,WTG 04,2015-12-29,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826374,WTG 02,2015-12-29,E82,,Enercon,108.0,82,149.0,2.0
EOB,Energie De L'Obi,Parc M (Obi),Énergie de l'Obi (FRA),826373,WTG 15,2015-12-29,E82,,Enercon,108.0,82,149.0,2.0
