customer,nom_des_parcs_eoliens,spv,project,three_letter_code,nom_du_pdl,grid_operator,pdl_service_company,coordonnees_gps,communes_departements_
Wpd,Energie Touvent (Mont du Saule),Energie Du Touvent,Mont Du Saule,EDT,Hta Pe Saule,Enedis ,Ineo,https://goo.gl/maps/35uubv2nuZ52,Hardanges (Mayenne)
Wpd,Energie Vendée,Energie Vendee,Auzay,EVE,Eol_Plaineauzay1,Enedis,Ineo,https://goo.gl/maps/R8Pp14VRws7Ri2Qv9,Auchay sur Vendée (Vendée)
Wpd,Energie Vendée,Energie Vendee,Auzay,EVE,Eol_Plaineauzay2,Enedis,Ineo,https://goo.gl/maps/R8Pp14VRws7Ri2Qv9,Auchay sur Vendée (Vendée)
Wpd,Energie Vendée,Energie Vendee,Auzay,EVE,Eol_Plaineauzay3,Enedis,Ineo,https://goo.gl/maps/NhKcxZkYqu4BJzxD9,Auchay sur Vendée (Vendée)
Wpd,Eoliennes de L'Ormeau,Eoliennes De L'Ormeau,Ormeau,EDO,Quincy Le Vicomte,Enedis ,Ineo,https://goo.gl/maps/7sMuzi4WH5m,Quincy le vicomte (Côte-d'Or )
Wpd,Herbes Sauvages,Energie Du Confolentais,Herbes Sauvages,ECO,16054P0022 Herbe Sauvage,Enedis,Ineo,https://goo.gl/maps/pFz9Qa66DoBU16Zy7,Le Bouchage (Nouvelle-Aquitaine)
Wpd,Limalonges,Energie Limalonges,Limalonges,WFLI,Hta P0064,Srd,Ineo,https://goo.gl/maps/urJxpp52xEP4zD3g9,Limalonges (Deux Sèvres)
Wpd,Magnac-Laval PDL 1,Energie Haute Vienne Sas,Magnac-Laval,EHV,Magnac-Laval Pdl 1,Enedis,Ineo,https://goo.gl/maps/8TfyssCwFKYSFD5x5,
Wpd,Magnac-Laval PDL 2,Energie Haute Vienne Sas,Magnac-Laval,EHV,Magnac-Laval Pdl 2,Enedis,Ineo,https://goo.gl/maps/F34CyByY41MNERve8,
Wpd,Marnières,Energie Des Poiriers Sas,Les Marnières,EPO,Marnières,Enedis ,Ineo,https://goo.gl/maps/mRXR6VycnUqnpYJK7,
Wpd,Moulismes,Energie Moulismes Sas,Moulismes,EMS,Pdl Moulismes,Srd,,https://maps.app.goo.gl/nAJAvjgwAPUhQNWq6,
Wpd,Peyrusse,Energie 21 Auvergne,Peyrusse (Wpd Energie 21 Auvergne ),EAV,Peyrusse Pdl 1,,,https://goo.gl/maps/FEudRUrRWcQubzok7,(Cantal)
