Three-letter-code,SPV,Project,WF name in Rotorsoft,WTG serial number,Num WTG,COD,WTG type,WTG version,Manufacturer,Hub height [m],Rotor diameter [m],Tip Height (m),Rated Power [MW]
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EAV,Energie 21 Auvergne,Peyrusse (wpd Energie 21 Auvergne ),0,,,,E82,,Enercon,98.0,82,139.0,2.3
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921437.0,WTG 05,Not signed,E92,,Enercon,104.0,92,150.0,2.35
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921438.0,WTG 06,2017-12-29 00:00:00,E92,,Enercon,104.0,92,150.0,2.35
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921436.0,WTG 04,2017-12-29 00:00:00,E92,,Enercon,104.0,92,150.0,2.35
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921435.0,WTG 03,2017-12-29 00:00:00,E92,,Enercon,104.0,92,150.0,2.35
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921434.0,WTG 02,2017-12-29 00:00:00,E92,,Enercon,104.0,92,150.0,2.35
EBB,ENERGIE BOULE BLEUE,Boule Bleue,Énergie Boule Bleue (FRA),921433.0,WTG 01,2017-12-29 00:00:00,E92,,Enercon,104.0,92,150.0,2.35
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826795.0,WTG 04,2017-02-21 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826797.0,WTG 06,2016-12-30 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826796.0,WTG 05,2016-12-30 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826794.0,WTG 03,2016-12-30 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826793.0,WTG 02,2016-12-30 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
EBM,ENERGIE DU BLANC MONT,Blanc Mont,Énergie du Blanc Mont (FRA),826792.0,WTG 01,2016-12-30 00:00:00,E82,,Enercon,98.0,82,139.0,2.3
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252052.0,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252053.0,,,V136,,Vestas,112.0,136,180.0,4.2
ECG,Energie Château Garnier,Château Garnier,Énergie Château-Garnier (FRA),252054.0,,,V136,,Vestas,112.0,136,180.0,4.2
ECO,Energie du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247466.0,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247467.0,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247468.0,,,V136,,Vestas,112.0,136,180.0,3.0
ECO,Energie du Confolentais,Herbes Sauvages,Énergie du Confolentais (FRA),247469.0,,,V136,,Vestas,112.0,136,180.0,3.0
EDI,ENERGIE DIZY,Dizy,Énergie Dizy (FRA),921454.0,WTG 17,2018-02-27 00:00:00,E92,,Enercon,103.0,92,149.0,2.35
EDI,ENERGIE DIZY,Dizy,Énergie Dizy (FRA),921279.0,WTG 27,2018-02-27 00:00:00,E92,,Enercon,103.0,92,149.0,2.35
EDI,ENERGIE DIZY,Dizy,Énergie Dizy (FRA),921278.0,WTG 26,2018-02-27 00:00:00,E92,,Enercon,103.0,92,149.0,2.35
EDI,ENERGIE DIZY,Dizy,Énergie Dizy (FRA),921277.0,WTG 25,2018-02-27 00:00:00,E92,,Enercon,103.0,92,149.0,2.35
EDI,ENERGIE DIZY,Dizy,Énergie Dizy (FRA),921276.0,WTG 23,2018-02-27 00:00:00,E92,,Enercon,103.0,92,149.0,2.35
EDN,Energie des Noyers SAS,Petit Doré PPK,Énergie des Noyers (FRA),92810.0,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie des Noyers SAS,Petit Doré PPK,Énergie des Noyers (FRA),92811.0,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie des Noyers SAS,Petit Doré PPK,Énergie des Noyers (FRA),92812.0,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie des Noyers SAS,Petit Doré PPK,Énergie des Noyers (FRA),92813.0,,,N117,,Nordex,106.0,117,164.5,3.6
EDN,Energie des Noyers SAS,Petit Doré PPK,Énergie des Noyers (FRA),92814.0,,,N117,,Nordex,106.0,117,164.5,3.6
EDO,EOLIENNES DE L'ORMEAU,Ormeau,Éoliennes de l'Ormeau (FRA),224947.0,WTG 04,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
EDO,EOLIENNES DE L'ORMEAU,Ormeau,Éoliennes de l'Ormeau (FRA),224946.0,WTG 01,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
EDO,EOLIENNES DE L'ORMEAU,Ormeau,Éoliennes de l'Ormeau (FRA),224945.0,WTG 02,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
EDO,EOLIENNES DE L'ORMEAU,Ormeau,Éoliennes de l'Ormeau (FRA),224944.0,WTG 01,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),232084.0,WTG 1,2020-12-22 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),232085.0,WTG 2,2020-12-22 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235326.0,WTG 3,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235327.0,WTG 4,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),232086.0,WTG 5,2020-12-22 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),232087.0,WTG 6,2020-12-22 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235328.0,WTG 7,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235329.0,WTG 8,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235330.0,WTG 9,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235331.0,WTG 10,2020-07-29 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDR,ENERGIE DES RONCHERES,Ronchères,Énergie des Ronchères (FRA),235332.0,WTG 11,2020-06-30 00:00:00,V136,,Vestas,112.0,136,180.0,3.6
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90340.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90341.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90342.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90343.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90344.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDS,Energie Deux Sèvres SAS,Saint Laurs (Energie Deux Sèvres),Énergie Deux Sèvres (FRA),90345.0,,,N131,,Nordex,114.0,131,179.5,3.0
EDT,ENERGIE DU TOUVENT,Mont du Saule,Énergie du Touvent (FRA),921450.0,WTG 03,2017-12-22 00:00:00,E92,,Enercon,102.0,92,148.0,2.35
EDT,ENERGIE DU TOUVENT,Mont du Saule,Énergie du Touvent (FRA),921449.0,WTG 02,2017-12-22 00:00:00,E92,,Enercon,102.0,92,148.0,2.35
EDT,ENERGIE DU TOUVENT,Mont du Saule,Énergie du Touvent (FRA),921448.0,WTG 01,2017-12-22 00:00:00,E92,,Enercon,102.0,92,148.0,2.35
EHV,Energie Haute Vienne SAS,Magnac-Laval,Énergie Haute Vienne (FRA),248780.0,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne SAS,Magnac-Laval,Énergie Haute Vienne (FRA),248781.0,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne SAS,Magnac-Laval,Énergie Haute Vienne (FRA),248782.0,,,V136,,Vestas,112.0,136,180.0,2.85
EHV,Energie Haute Vienne SAS,Magnac-Laval,Énergie Haute Vienne (FRA),248783.0,,,V136,,Vestas,112.0,136,180.0,2.85
EIW,ENERGIE IWUY,Iwuy,Énergie Iwuy (FRA),228229.0,WTG 15,2019-07-30 00:00:00,V117,,Vestas,116.5,117,175.0,3.6
EIW,ENERGIE IWUY,Iwuy,Énergie Iwuy (FRA),228228.0,WTG 14,2019-07-30 00:00:00,V117,,Vestas,116.5,117,175.0,3.6
EIW,ENERGIE IWUY,Iwuy,Énergie Iwuy (FRA),228227.0,WTG 12,2019-07-30 00:00:00,V117,,Vestas,116.5,117,175.0,3.6
EIW,ENERGIE IWUY,Iwuy,Énergie Iwuy (FRA),228226.0,WTG 11,2019-07-30 00:00:00,V117,,Vestas,116.5,117,175.0,3.6
EIW,ENERGIE IWUY,Iwuy,Énergie Iwuy (FRA),228225.0,WTG 10,2019-07-30 00:00:00,V117,,Vestas,116.5,117,175.0,3.6
ELT,ENERGIE LES TRENTE,Les Trente,Énergie les Trente (FRA),213509.0,WTG 06,2017-03-13 00:00:00,V100,,Vestas,95.0,100,145.0,2.0
ELT,ENERGIE LES TRENTE,Les Trente,Énergie les Trente (FRA),213508.0,WTG 05,2017-03-13 00:00:00,V100,,Vestas,95.0,100,145.0,2.0
ELT,ENERGIE LES TRENTE,Les Trente,Énergie les Trente (FRA),213507.0,WTG 03,2017-03-13 00:00:00,V100,,Vestas,95.0,100,145.0,2.0
ELT,ENERGIE LES TRENTE,Les Trente,Énergie les Trente (FRA),213506.0,WTG 02,2017-03-13 00:00:00,V100,,Vestas,95.0,100,145.0,2.0
ELT,ENERGIE LES TRENTE,Les Trente,Énergie les Trente (FRA),213505.0,WTG 01,2017-03-13 00:00:00,V100,,Vestas,95.0,100,145.0,2.0
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825546.0,WTG 08,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825545.0,WTG 07,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825544.0,WTG 06,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825543.0,WTG 05,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825542.0,WTG 04,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825541.0,WTG 03,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825540.0,WTG 02,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMG,ENERGIE MONTAGNE GAILLARD,Montagne Gaillard,Énergie Montagne Gaillard (FRA),825539.0,WTG 01,2014-03-14 00:00:00,E82,,Enercon,85.0,82,126.0,2.3
EMS,Energie Moulismes SAS,Moulismes,0,252049.0,WTG 01,,V150,,Vestas,125.0,150,200.0,4.2
EMS,Energie Moulismes SAS,Moulismes,0,252050.0,WTG 02,,V150,,Vestas,125.0,150,200.0,4.2
EMS,Energie Moulismes SAS,Moulismes,0,252051.0,WTG 03,,V150,,Vestas,125.0,150,200.0,4.2
ENQ,ENERGIE QUINCY,Quincy,Énergie Quincy (FRA),225154.0,WTG 07,2019-01-31 00:00:00,V100,,Vestas,100.0,100,150.0,2.2
